t,x,y
6.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
